Entity,Code,Year,malaria_deaths
Africa,,2000,840000
Africa,,2001,838000
Africa,,2002,797000
Africa,,2003,774000
Africa,,2004,750000
Africa,,2005,723000
Africa,,2006,715000
Africa,,2007,698000
Africa,,2008,678000
Africa,,2009,671000
Africa,,2010,646000
Africa,,2011,608000
Africa,,2012,575000
Africa,,2013,556000
Africa,,2014,534000
Africa,,2015,527000
Africa,,2016,528000
Africa,,2017,542000
Africa,,2018,533000
Africa,,2019,534000
Africa,,2020,602000
Americas,,2000,909
Americas,,2001,832
Americas,,2002,764
Americas,,2003,726
Americas,,2004,711
Americas,,2005,687
Americas,,2006,581
Americas,,2007,503
Americas,,2008,470
Americas,,2009,463
Americas,,2010,502
Americas,,2011,464
Americas,,2012,430
Americas,,2013,470
Americas,,2014,348
Americas,,2015,414
Americas,,2016,529
Americas,,2017,664
Americas,,2018,571
Americas,,2019,509
Americas,,2020,409
Eastern Mediterranean,,2000,13700
Eastern Mediterranean,,2001,13900
Eastern Mediterranean,,2002,13200
Eastern Mediterranean,,2003,12200
Eastern Mediterranean,,2004,10600
Eastern Mediterranean,,2005,11500
Eastern Mediterranean,,2006,11500
Eastern Mediterranean,,2007,9800
Eastern Mediterranean,,2008,7200
Eastern Mediterranean,,2009,6900
Eastern Mediterranean,,2010,8800
Eastern Mediterranean,,2011,8000
Eastern Mediterranean,,2012,8100
Eastern Mediterranean,,2013,7700
Eastern Mediterranean,,2014,7900
Eastern Mediterranean,,2015,8300
Eastern Mediterranean,,2016,9500
Eastern Mediterranean,,2017,10200
Eastern Mediterranean,,2018,10900
Eastern Mediterranean,,2019,11500
Eastern Mediterranean,,2020,12300
Europe,,2000,0
Europe,,2001,0
Europe,,2002,0
Europe,,2003,0
Europe,,2004,0
Europe,,2005,0
Europe,,2006,0
Europe,,2007,0
Europe,,2008,0
Europe,,2009,0
Europe,,2010,0
Europe,,2011,0
Europe,,2012,0
Europe,,2013,0
Europe,,2014,0
Europe,,2015,0
Europe,,2016,0
Europe,,2017,0
Europe,,2018,0
Europe,,2019,0
Europe,,2020,0
South-East Asia,,2000,35000
South-East Asia,,2001,34000
South-East Asia,,2002,33000
South-East Asia,,2003,33000
South-East Asia,,2004,36000
South-East Asia,,2005,38000
South-East Asia,,2006,33000
South-East Asia,,2007,33000
South-East Asia,,2008,36000
South-East Asia,,2009,37000
South-East Asia,,2010,39000
South-East Asia,,2011,32000
South-East Asia,,2012,27000
South-East Asia,,2013,21000
South-East Asia,,2014,23000
South-East Asia,,2015,24000
South-East Asia,,2016,25000
South-East Asia,,2017,18000
South-East Asia,,2018,11000
South-East Asia,,2019,9000
South-East Asia,,2020,9000
Western Pacific,,2000,6100
Western Pacific,,2001,5300
Western Pacific,,2002,4700
Western Pacific,,2003,5000
Western Pacific,,2004,5600
Western Pacific,,2005,4500
Western Pacific,,2006,4900
Western Pacific,,2007,3800
Western Pacific,,2008,3500
Western Pacific,,2009,4700
Western Pacific,,2010,3500
Western Pacific,,2011,3000
Western Pacific,,2012,3400
Western Pacific,,2013,4000
Western Pacific,,2014,3800
Western Pacific,,2015,2400
Western Pacific,,2016,2900
Western Pacific,,2017,3000
Western Pacific,,2018,3000
Western Pacific,,2019,2600
Western Pacific,,2020,3200